code,latin_name,code_two,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
PA,Populous alba,Native,Native,Deciduous,55.963933,-3.208517,54,11,U,49,53.9390,0.3322,12.22,0.05,2.89,69.13,
PA,Populous alba,Native,Native,Deciduous,55.963933,-3.208517,54,11,L,52.7,49.8566,0.3569,12.01,0.42,5.11,62.55,
PA,Populous alba,Native,Native,Deciduous,55.963933,-3.208517,54,11,L,53.8,53.6360,0.2496,11.04,0.07,4.36,67.28,
PA,Populous alba,Native,Native,Deciduous,55.963933,-3.208517,54,11,L,51.1,51.9583,0.3514,13.31,0.09,6.77,75.15,
PNB,Populus nigra betulifolia,Native,Native,Deciduous,55.965217,-3.206917,54,24.5,U,39.6,51.3311,0.2789,12.62,0.84,6.29,71.36,
PNB,Populus nigra betulifolia,Native,Native,Deciduous,55.965217,-3.206917,54,24.5,U,34.4,52.6555,0.3499,7.81,0.59,7.18,92.78,
PNB,Populus nigra betulifolia,Native,Native,Deciduous,55.965217,-3.206917,54,24.5,U,35.9,49.7222,0.3153,10.59,0.44,4.63,62.78,
PNB,Populus nigra betulifolia,Native,Native,Deciduous,55.965217,-3.206917,54,24.5,L,34.3,48.1056,0.2636,14.25,-0.75,3.71,60.51,
PNB,Populus nigra betulifolia,Native,Native,Deciduous,55.965217,-3.206917,54,24.5,L,29,53.3588,0.3573,11.74,0.01,4.17,64.67,
PNB,Populus nigra betulifolia,Native,Native,Deciduous,55.965217,-3.206917,54,24.5,L,34,51.7079,0.3093,12.99,-0.21,3.26,65.42,
PP,Prunus padus,Native,Native,Deciduous,55.964233,-3.204067,10,16,U,40.8,43.8664,0.4086,14.39,-0.74,4.28,69.98,
PP,Prunus padus,Native,Native,Deciduous,55.964233,-3.204067,10,16,U,37,40.2721,0.4819,16.36,-0.28,5.69,73.32,
PP,Prunus padus,Native,Native,Deciduous,55.964233,-3.204067,10,16,U,37,34.0047,0.4980,12.15,-0.45,5.66,97.51,
PP,Prunus padus,Native,Native,Deciduous,55.964233,-3.204067,10,16,L,37.3,32.2547,0.3747,13.64,-1.02,4.21,64.91,
PP,Prunus padus,Native,Native,Deciduous,55.964233,-3.204067,10,16,L,37.7,38.7050,0.3772,11.48,-1.44,6.89,96.23,
PP,Prunus padus,Native,Native,Deciduous,55.964233,-3.204067,10,16,L,39.9,35.5597,0.4560,12.44,-1.22,4.10,98.31,
PT,Populus tremula,Native,Native,Deciduous,55.963917,-3.211267,50,38,U,41.8,72.1585,0.4441,12.49,0.37,5.73,82.81,
PT,Populus tremula,Native,Native,Deciduous,55.963917,-3.211267,50,38,U,42.7,73.8097,0.4291,14.06,0.33,5.37,98.19,
PT,Populus tremula,Native,Native,Deciduous,55.963917,-3.211267,50,38,U,40.7,69.7045,0.4546,10.27,0.18,4.22,58.22,
PT,Populus tremula,Native,Native,Deciduous,55.963917,-3.211267,50,38,L,43.2,47.7370,0.3316,11.51,-1.57,4.32,78.31,
PT,Populus tremula,Native,Native,Deciduous,55.963917,-3.211267,50,38,L,45.9,51.4669,0.2671,10.99,-1.12,5.24,93.81,
PT,Populus tremula,Native,Native,Deciduous,55.963917,-3.211267,50,38,L,48.5,45.1350,0.3522,13.94,-0.94,6.65,64.31,
QP,Quercus petraea,Native,Native,Deciduous,55.965617,-3.211650,54,40.5,U,44.4,51.0546,0.3845,12.71,-0.33,3.25,63.59,
QP,Quercus petraea,Native,Native,Deciduous,55.965617,-3.211650,54,40.5,U,41.4,58.7684,0.3834,9.78,0.01,3.33,88.72,
QP,Quercus petraea,Native,Native,Deciduous,55.965617,-3.211650,54,40.5,U,42.7,57.5402,0.4015,11.35,-0.35,2.67,87.55,
QP,Quercus petraea,Native,Native,Deciduous,55.965617,-3.211650,54,40.5,L,47.2,81.6506,0.2979,7.28,-0.19,7.34,54.27,
QP,Quercus petraea,Native,Native,Deciduous,55.965617,-3.211650,54,40.5,L,45.7,89.8348,0.2830,6.69,-0.15,7.15,93.89,
QP,Quercus petraea,Native,Native,Deciduous,55.965617,-3.211650,54,40.5,L,45.8,87.9546,0.3154,8.01,-0.17,6.76,72.85,
QR,Quercus robur,Native,Native,Deciduous,55.965817,-3.211150,54,50,U,47.5,68.1036,0.4412,11.72,-0.32,6.15,60.27,
QR,Quercus robur,Native,Native,Deciduous,55.965817,-3.211150,54,50,U,45.9,64.1729,0.3575,10.93,-0.32,8.29,96.91,
QR,Quercus robur,Native,Native,Deciduous,55.965817,-3.211150,54,50,U,45.1,73.1029,0.3740,12.12,-0.31,7.24,75.92,
QR,Quercus robur,Native,Native,Deciduous,55.965817,-3.211150,54,50,L,39.7,60.5467,0.4469,11.11,-0.84,7.43,61.13,
QR,Quercus robur,Native,Native,Deciduous,55.965817,-3.211150,54,50,L,36.5,56.7300,0.5785,12.45,0.05,7.14,71.44,
QR,Quercus robur,Native,Native,Deciduous,55.965817,-3.211150,54,50,L,37.6,58.1266,0.5178,12.75,0.08,6.34,90.21,
RC,Rosa canina,Native,Native,Deciduous,55.964183,-3.204133,25,4.5,U,37.2,44.3272,0.4564,8.43,-1.08,5.05,72.72,
RC,Rosa canina,Native,Native,Deciduous,55.964183,-3.204133,25,4.5,U,37.2,41.6152,0.4058,9.88,-0.76,5.59,60.00,
RC,Rosa canina,Native,Native,Deciduous,55.964183,-3.204133,25,4.5,U,38.4,45.9828,0.4126,7.82,-0.97,6.02,57.27,
RC,Rosa canina,Native,Native,Deciduous,55.964183,-3.204133,25,4.5,L,32.7,40.0880,0.3884,7.33,0.01,6.77,65.16,
RC,Rosa canina,Native,Native,Deciduous,55.964183,-3.204133,25,4.5,L,31.5,42.5690,0.3392,9.58,-0.04,7.21,98.08,
RC,Rosa canina,Native,Native,Deciduous,55.964183,-3.204133,25,4.5,L,30.4,35.8253,0.4187,8.81,0.02,7.21,77.97,
RI,Rubus idaeus,Native,Native,Deciduous,55.966583,-3.211983,4,4.4,U,33.1,57.5977,0.4214,11.18,0.43,7.30,67.59,
RI,Rubus idaeus,Native,Native,Deciduous,55.966583,-3.211983,4,4.4,U,33.5,62.2265,0.4979,13.88,0.24,6.49,58.31,
RI,Rubus idaeus,Native,Native,Deciduous,55.966583,-3.211983,4,4.4,U,33.2,63.7853,0.5160,9.16,0.38,8.38,65.23,
RI,Rubus idaeus,Native,Native,Deciduous,55.966583,-3.211983,4,4.4,L,34.5,48.0135,0.4253,6.15,-0.43,6.73,54.03,
RI,Rubus idaeus,Native,Native,Deciduous,55.966583,-3.211983,4,4.4,L,36.6,48.0076,0.4444,7.34,-0.32,6.92,56.31,
RI,Rubus idaeus,Native,Native,Deciduous,55.966583,-3.211983,4,4.4,L,36.1,49.5145,0.3068,5.48,-0.39,7.65,67.48,
RR,Rosa rubiginosa,Native,Native,Deciduous,55.964267,-3.204180,25,4.2,U,35.9,41.0096,0.3708,12.64,-0.03,4.39,59.73,
RR,Rosa rubiginosa,Native,Native,Deciduous,55.964267,-3.204180,25,4.2,U,35.6,38.3369,0.2347,10.70,0.04,4.67,85.65,
RR,Rosa rubiginosa,Native,Native,Deciduous,55.964267,-3.204180,25,4.2,U,33,40.3925,0.4794,11.92,0.01,6.54,57.79,
RR,Rosa rubiginosa,Native,Native,Deciduous,55.964267,-3.204180,25,4.2,L,36,46.4468,0.3950,10.81,-1.34,5.50,55.59,
RR,Rosa rubiginosa,Native,Native,Deciduous,55.964267,-3.204180,25,4.2,L,36.3,53.4747,0.4097,14.12,-0.32,4.85,68.88,
RR,Rosa rubiginosa,Native,Native,Deciduous,55.964267,-3.204180,25,4.2,L,35.9,55.4768,0.3856,12.29,-1.09,3.94,58.36,
SA,Sorbus aucuparia,Native,Native,Deciduous,55.966783,-3.212567,29,8.5,U,45.7,51.0546,0.3935,10.64,-0.59,5.50,71.45,
SA,Sorbus aucuparia,Native,Native,Deciduous,55.966783,-3.212567,29,8.5,U,46.2,42.9061,0.4205,14.90,-0.23,6.25,58.17,
SA,Sorbus aucuparia,Native,Native,Deciduous,55.966783,-3.212567,29,8.5,U,44.3,54.7810,0.4244,12.75,0.29,6.66,82.57,
SA,Sorbus aucuparia,Native,Native,Deciduous,55.966783,-3.212567,29,8.5,L,46.1,43.2213,0.3577,7.74,-1.95,4.53,66.64,
SA,Sorbus aucuparia,Native,Native,Deciduous,55.966783,-3.212567,29,8.5,L,48.5,38.1444,0.3624,7.71,-1.81,3.32,94.88,
SA,Sorbus aucuparia,Native,Native,Deciduous,55.966783,-3.212567,29,8.5,L,45.8,37.3615,0.4244,8.11,-1.23,4.49,57.51,
SN,Sambucus nigra,Native,Native,Deciduous,58.9667,-3.212533,19,4.6,U,23.9,37.1390,0.1797,16.85,-0.43,6.97,59.05,
SN,Sambucus nigra,Native,Native,Deciduous,58.9667,-3.212533,19,4.6,U,23.3,35.0932,0.1481,14.30,-0.36,7.12,93.78,
SN,Sambucus nigra,Native,Native,Deciduous,58.9667,-3.212533,19,4.6,U,27.8,34.5924,0.1772,15.74,-0.49,6.19,98.16,
SN,Sambucus nigra,Native,Native,Deciduous,58.9667,-3.212533,19,4.6,L,31.4,36.5861,0.2257,12.80,0.49,5.40,60.89,
SN,Sambucus nigra,Native,Native,Deciduous,58.9667,-3.212533,19,4.6,L,31.4,38.5348,0.2103,14.75,0.22,7.63,79.50,
SN,Sambucus nigra,Native,Native,Deciduous,58.9667,-3.212533,19,4.6,L,34.5,43.2253,0.2628,13.16,0.40,7.23,86.54,
TC,Tilia cordata,Native,Native,Deciduous,55.963717,-3.209650,54,79.5,U,48.7,47.1841,0.3278,11.94,-1.47,6.05,60.19,
TC,Tilia cordata,Native,Native,Deciduous,55.963717,-3.209650,54,79.5,U,51.1,53.9007,0.2575,10.47,-1.38,7.85,59.51,
TC,Tilia cordata,Native,Native,Deciduous,55.963717,-3.209650,54,79.5,U,49.3,39.7437,0.4355,10.75,-1.02,6.43,75.39,
TC,Tilia cordata,Native,Native,Deciduous,55.963717,-3.209650,54,79.5,L,35.9,27.7391,0.2853,10.94,-1.24,6.36,59.58,
TC,Tilia cordata,Native,Native,Deciduous,55.963717,-3.209650,54,79.5,L,37.4,39.4969,0.3468,11.34,-1.11,6.79,62.08,
TC,Tilia cordata,Native,Native,Deciduous,55.963717,-3.209650,54,79.5,L,36.9,40.7368,0.2897,11.36,-0.45,4.57,82.90,
UG,Ulmus glabra,Native,Native,Deciduous,57.878,-3.211350,17,11,U,46.6,68.1036,0.3833,9.05,-1.32,6.18,83.74,
UG,Ulmus glabra,Native,Native,Deciduous,57.878,-3.211350,17,11,U,46.7,58.5365,0.4112,11.30,-1.39,5.16,94.52,
UG,Ulmus glabra,Native,Native,Deciduous,57.878,-3.211350,17,11,U,45.5,61.2378,0.2835,9.93,-1.44,4.50,69.98,
UG,Ulmus glabra,Native,Native,Deciduous,57.878,-3.211350,17,11,L,42.4,72.1585,0.3725,10.95,-1.31,4.79,73.12,
UG,Ulmus glabra,Native,Native,Deciduous,57.878,-3.211350,17,11,L,44.9,71.0390,0.4358,9.97,-1.37,4.95,57.69,
UG,Ulmus glabra,Native,Native,Deciduous,57.878,-3.211350,17,11,L,48.8,76.5949,0.4221,9.15,-0.99,4.78,65.08,
AP,Acer platanoides,Naturalised,Naturalised,Deciduous,55.964633,-3.211433,55,85,U,38.3,37.0469,0.3869,10.15,0.30,6.26,56.17,
AP,Acer platanoides,Naturalised,Naturalised,Deciduous,55.964633,-3.211433,55,85,U,38.1,34.9446,0.4877,13.48,0.13,5.16,80.37,
AP,Acer platanoides,Naturalised,Naturalised,Deciduous,55.964633,-3.211433,55,85,U,39.5,42.4509,0.4370,11.72,0.23,5.40,95.54,
AP,Acer platanoides,Naturalised,Naturalised,Deciduous,55.964633,-3.211433,55,85,L,37.4,35.2959,0.4136,9.82,-0.35,6.07,57.85,
AP,Acer platanoides,Naturalised,Naturalised,Deciduous,55.964633,-3.211433,55,85,L,38.7,40.8338,0.4603,10.96,-0.26,5.47,69.36,
AP,Acer platanoides,Naturalised,Naturalised,Deciduous,55.964633,-3.211433,55,85,L,41.2,43.9649,0.4262,8.50,0.08,6.34,75.94,
APS,Acer pseudoplatanus,Naturalised,Naturalised,Deciduous,55.9647,-3.211533,55,85,U,43.7,63.0350,0.3576,13.97,0.88,7.27,72.77,
APS,Acer pseudoplatanus,Naturalised,Naturalised,Deciduous,55.9647,-3.211533,55,85,U,41.7,72.1833,0.4595,11.41,-0.14,5.32,85.06,
APS,Acer pseudoplatanus,Naturalised,Naturalised,Deciduous,55.9647,-3.211533,55,85,U,42.9,65.1968,0.4681,12.96,-0.11,5.98,66.89,
APS,Acer pseudoplatanus,Naturalised,Naturalised,Deciduous,55.9647,-3.211533,55,85,L,46.4,55.3860,0.3403,11.78,0.62,5.61,56.80,
APS,Acer pseudoplatanus,Naturalised,Naturalised,Deciduous,55.9647,-3.211533,55,85,L,42.5,67.5458,0.2072,10.96,0.21,6.77,69.28,
APS,Acer pseudoplatanus,Naturalised,Naturalised,Deciduous,55.9647,-3.211533,55,85,L,45.5,59.4022,0.3505,12.77,0.46,5.41,66.00,
CS,Castanea sativa,Naturalised,Naturalised,Deciduous,55.950917,-3.206267,55,159,U,36.4,78.8859,0.3211,16.68,-0.53,4.54,61.49,
CS,Castanea sativa,Naturalised,Naturalised,Deciduous,55.950917,-3.206267,55,159,U,40.3,87.4540,0.3995,14.59,0.35,6.73,93.26,
CS,Castanea sativa,Naturalised,Naturalised,Deciduous,55.950917,-3.206267,55,159,U,41.6,90.3418,0.3663,12.86,-0.31,4.62,91.69,
CS,Castanea sativa,Naturalised,Naturalised,Deciduous,55.950917,-3.206267,55,159,L,39.6,57.0448,0.3976,14.59,0.08,6.32,59.25,
CS,Castanea sativa,Naturalised,Naturalised,Deciduous,55.950917,-3.206267,55,159,L,41.6,52.9102,0.3843,13.80,0.02,6.82,89.11,
CS,Castanea sativa,Naturalised,Naturalised,Deciduous,55.950917,-3.206267,55,159,L,39.3,61.3214,0.3398,14.79,0.12,6.46,72.54,
FSA,Fagus sylvatica atropurpurea,Naturalised,Naturalised,Deciduous,55.9647,-3.208967,66,111.5,U,40.9,74.1859,0.4710,10.97,-0.68,7.64,75.25,
FSA,Fagus sylvatica atropurpurea,Naturalised,Naturalised,Deciduous,55.9647,-3.208967,66,111.5,U,40.5,72.8993,0.4303,8.68,-0.29,8.05,91.32,
FSA,Fagus sylvatica atropurpurea,Naturalised,Naturalised,Deciduous,55.9647,-3.208967,66,111.5,U,40.9,68.8109,0.4901,9.34,0.13,5.10,62.11,
FSA,Fagus sylvatica atropurpurea,Naturalised,Naturalised,Deciduous,55.9647,-3.208967,66,111.5,L,37.2,39.3979,0.3762,9.71,0.57,6.80,74.37,
