site,transect,transect_ID,Id,lat,long,orientation,quad,soil_ph,soil_moist,par,height_1,height_2,height_3,height_4,avg_height,heather,bilberry,lingonberry,sitka_spruce,silver_birch,orchid,bedstraw,bracken,lichen_1,lichen_2,lichen_3,lichen_4,lichen_5,deadwood,bare_ground,grass_1,grass_2,grass_3,grass_4,grass_5,grass_6,grass_7,grass_8,grass_9,moss_1,moss_2,moss_3,moss_4,rush_1,rush_2,rush_3,COMMENTS,plant_richness,coleoptera,aranea,hymenoptera,collembola,hemiptera,diptera,isopoda,acari,opiliones,larvae,psocoptera,pulmonata,achatinoidea,dictyoptera,dermaptera,julida,invert_richness
3,B,3B(30),3B,57.176573,-3.709135,SW,30,,10,1131,61,53,43,56,53.25,0.4,,,,,,,0.025,,,,,,0.1,,,,,,,,,,0.1,,,0.8,,,,0.1,,5,,2,1,4,26,,,,,,,2,,,,,5
3,B,3B(15),3B,57.176657,-3.708942,SW,15,,9.8,1006,14,14,18,16,15.5,,0.1,,,,,,,0.1,,,,,0.2,,,,,,,,,,,0.8,,0.2,,,,,,4,1,,3,,2,,,1,,,,,,,,,4
3,B,3B(0),3B,57.176741,-3.708801,SW,0,,9,1247,36,39,11,48,33.5,0.15,,,,,,,,,,,,,,,,,,,,,,,0.9,0.4,,,,,,,,3,,2,2,3,2,1,,7,,2,,,1,,,,8
3,B,3B(-15),3B,57.176828,-3.708625,SW,-15,,10,132,21,16,56,28,30.25,0.025,0.8,,,,,,,,,,,,0.05,,,,,,,,,0.1,0.3,0.025,0.025,,,,,,,6,6,2,,2,2,8,,,4,,,,,,,,6
3,B,3B(-30),3B,57.176913,-3.708418,SW,-30,,10,14,11,2,12,15,10,0.15,0.2,,,,,,,0.3,,,,,0.65,,,,,,,,,,0.6,0.2,,,,,,,,5,2,,,3,,1,,,8,,,,,,,,4
4,A,4A(30),4A,57.175964,-3.706607,SW,30,3.24,8,1074,73,48,38,11,42.5,0.8,0.2,0.2,,,,,,,,,,,0.05,,,,,,,,,,,0.5,0.5,,,,,,canopy clearing (fallen trees),5,,1,10,4,1,5,,1,,,,,,,,,6
4,A,4A(15),4A,57.176061,-3.706456,SW,15,2.95,10,945,35,38,39,8,30,0.6,,0.2,,,,,,,,,,,,,,,,,,,0.1,,0.05,0.9,,,,,,,,5,1,4,12,1,1,,,,1,,,,,,,,6
4,A,4A(0),4A,57.176191,-3.706237,SW,0,3.37,9.4,962,40,50,30,38,39.5,0.025,,0.3,,,,,,,,,,,,,,,,,,,0.8,,,0.3,,,,,,,,4,1,5,149,7,2,,,,1,,,,,,,,6
4,A,4A(-15),4A,57.176295,-3.706047,SW,-15,3.03,10,90,28,20,42,55\,30,0.1,0.4,0.4,,,,,,,,,,,0.05,,,,,,,,0.1,,,0.7,,,,,,,,5,1,6,34,5,,6,,,2,,,,,,,,6
4,A,4A(-30),4A,57.176384,-3.705865,SW,-30,3.35,10,8,94,8,5,10,29.25,,0.1,,,,,,,,,,,,0.05,,,,,0.4,,,,,,0.8,,,,,,,,3,1,2,1,12,,11,,,9,3,,,,,,,7
4,B,4B(30),4B,57.175282,-3.705968,SW,30,,10,720,57,52,4,80,48.25,0.2,0.6,0.4,,,,,,0.1,,,,,0.2,,,,,0.4,,,,,0.4,0.7,,0.75,,,,,,8,4,1,19,,,1,,,,,,,,,,,4
4,B,4B(15),4B,57.175298,-3.705679,SW,15,,10,648,75,92,91,66,81,0.6,,,,,,,,,,,,,,,,,,0.3,,,0.4,,,,,1,,,,,,4,2,1,7,,,,,,,8,,,,,,,4
4,B,4B(0),4B,57.175402,-3.705531,SW,0,,3.2,521,46,15,44,51,39,0.3,0.3,0.4,,,,,,,,,,,,,,,,0.1,,,,,,0.8,,,,,,,,5,,3,2207,,,1,,,,,,,,,,,3
4,B,4B(-15),4B,57.175427,-3.705228,SW,-15,,8.2,104,0,3,9,25,9.25,,,,,,0.025,,,0.025,,,,,0.6,,,,,,,,,,,0.8,,,,,,,,3,2,2,79,,,,,,2,,,,,,,,4
4,B,4B(-30),4B,57.175552,-3.705036,SW,-30,,6.6,8,2,5,3,2,3,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.95,,,,,,,,1,,3,1002,1,,3,,,5,,,,,,,,5
